Title,Abstract,Date
Improving Polymorphism in Common Object Models,"Most common object models of distributed object systems lack support for 'polymorphism' (an abstraction mechanism that represents a quality or state of being able to assume different forms).  This lack of support restricts the development of new components and limits reuse of existing components that use these advanced features.  In this paper, the Interoperable Common Object Model (ICOM), which focuses on a subset of object-oriented languages, specifically statically typed languages, is presented.  The ICOM model is an attempt to elevate common object models closer to the object models of statically typed object-oriented languages by including support for polymorphism.  Specific features of the ICOM object model include: remote inheritance, method overloading, and parameterized types.",1998-03-01
Computer Analysis of User Interfaces,"Interface evaluation is a necessary phase in the production of quality user interfaces.  The usual evaluation techniques involve formal experiments or observation, and can be invasive.  One non-invasive method that can be used at user sites is to record all user input and system output to a file.  This transcript is then algorithmatically analyzed to determine interface problems.  A new technique analyzes these transcripts by searching for maximal repeating patterns (MRPs), on the hypothesis that repeating sequences of user actions indicate interesting user behavior, and therefore may show problems in the interface.  The technique was tested by using it to evaluate the human-computer interface of a large and complex image processing system in active use.  Results show MRPs useful in detecting specific problems within the interface.",1989
A Comparison of Selected Conceptual Frameworks for SimulationModeling,"The purpose of this paper is compare 13 Conceptual Frameworks (CFs) selected from among several catagories of applicability to discrete-event simulation modeling.  Each CF is briefly reviewed to provide the background information required for the comparison.  Based on the insights gained in applying the CFs to the modeling complex traffic intersection system, the CFs are compared to their distinct characteristics and capabilities.  Comparative comments are grouped according to the design guidance and implementation guidance features of the CFs.  Conclusions highlight the inadequacies of the CFs and the importance of research in CF development.",1989
UIMS: Toward the Next Generation,"First generation User Interface Management Systems (UIMS) have established themselves in both research and commercial areas.  This paper discusses improved usability and extension of UIMS to include a broader whole system development life cycle as the basis for evolution of a second generation of UIMS.  Problems of first generation UIMS, some informal empirical work that is leading toward an interface development life cycle and UIMS to directions for the anticipated evolution are presented.",1986
Tracking Nonlinear Equilibrium Paths by a Homotopy Method,No abstract available.,1981
Validation of Multivariate Response Trace-driven Simulation Models,"A procedure is developed by using Rotelling's one-sample T^2 test to test the validity of a multivariate response trace-driven simulation model that represents an observable system. The vali- dity of the simulation model is tested with respect to the mean behavior under a given experimental frame. A procedure for cost-risk analysis for the one-sample T^2 test is developed. By using this procedure, a trade-off analysis can be performed and judgement decisions can be made as to what data collection budget to allocate, what data collection method to use, how many paired observations to collect on the model and system re- sponse variables, and what model builder's risk to choose for test- ing the validity under a satisfactory model user's risk. The procedure for validation and the cost-risk analysis are illustrated for a trace-driven simulation model that represents a time-sharing computer system with two performance measures of interest.",1982
The Algebraic Representation of Partial Functions,"The paper presents a generalization of the theorem which states that any (everywhere defined) function from a finite field GF(p^n) into itself may be represented at a polynomial over GF(p^n). The generalization is to partial functions over GF(p^n) and exhibits  representations of a partial function f by the sum of a polynomial and a sum of terms of the form a/(x-b)i, where b is one of the  points at which f is undefined. Three such representation theorems are given. The second is the analog of the Mittag-Leffler Theorem of the theory of functions of a single complex variable. The main result of the paper is that the sum of the degree of  the polynomial part of the representation and the degrees of the  principal parts of the representation need be no more than  max(|A|, |B|) where A is the set upon which the function is defined and B is the set upon which the function is undefined.",1978
A Study of Multiprocessor Architectures for Supporting Secure Database Management,"This is a work-in-progress report on multiprocesser architectures for supporting secure database management. The basic configuration contains three logical modules -- the user and applications module, the data storage and retrieval module, and the protection and security module. Each module resides on one or more processors that form a multiprocessor system called MULTISAFE. The background leading to the configuration and the functional characteristics of MULTISAFE are discussed. Some problems and questions for further research are also identified.",1977
Language Extensions for Specifying Access Control Policies in Programming Languages,"The scope rules in programming languages control the sharing of data among program units-e.g., blocks and procedures. Typically, scope rules provide an all-or-nothing kind of access control. A wide range of programming problems exist which require finer access control as well as considerable sophistication for the implementation of access control policies on high-level data objects such as files. This paper presents a number of language extensions that permit the programmer to specify the degree of access control for each abstract object that a program unit can manipulate. An attempt has been made to keep the number of extensions as small as possible and yet allow the user conveniently to specify the access control policies that he desires.  Some of the extensions permit access policies to be specified such that access correctness can be completely determined at compile time; other extensions permit policies to be specified that require some access checking to be done at runtime in order to ensure access correctness. The extensions have been developed such that subsets can be selected and implemented in programming languages to provide various access control policies.",1980
Nonlinear Thermal Waves: Part II - Analytical Solutions for Pulses,"The weak shock theory developed by Cramer (1994) is used to derive explicit solutions for the evolution of one-dimensional weakly, nonlinear, weakly relaxing heat pulses in rigid conductors.  Formulas and differential equations governing the evolution of general heat inputs are derived and applied to the special cases of a square-wave heat input and a finite width sine-wave heat input.  Numerical solutions to the exact Maxwell-Cattaneo theory are also presented and show excellent agreement with these analytical solutions.",1994-12-01
Digital Library: Gross Structure and Requirements (Report from aWorkshop),"The overall workshop goals were: 1) to define those digital library parameters which especially influences issues of access to, retrieval of, and interaction with information; 2) to identify key problems which must be solved to make digital library service an effective reality; 3) to identify a general structure or framework for integrating research and solutions; and 4) to propose and encourage specific, high-priority research directions within such a framework.",1994-06-01
Edge-Packing in Planar Graphs,"Maximum G Edge-Packing (EPack-sub G) is the problem of finding the maximum number of edge-disjoint isomorphic copies of a fixed guest graph G in a host graph H.  This paper investigates the computational complexity of edge-packing for planar guests and planar hosts. Edge-packing is solvable in polynomial time when both G and H are either a 3-cycle or a k-star (graphs isomorphic to K(sub 1,k).  Edge-packing is NP-complete when H is planar and G is either a cycle or a tree with greater than or equal to 3 edges.  A strategy for developing polynomial-time approximation algorithms for planar hosts is exemplified by a linear-time approximation algorithm that finds a k-star edge-packing of size at least 1/2 optimal.",1995-10-01
Transforming Command-Line Driven Systems to Web Applications,"A method fo add a Web-based interface to a command-line driven system is presented.  Without programming, Javamatic can generate a graphical user interface, then invokes commands in the legacy system transparently to the user.  The user interface (UI) is automatically generated as a Java applet or stand-alone interface from a high-level description of the application, which is UI independent, using a set of UI mapping rules.  The application is wrapped with an interface serverl thus multiple clients can use the legacy application through the Web.",1996-12-01
Professionalism in Computing: A Web-Based Learning System,"Starting from a project to develop a digital library for a Computer Science course studying social impact and computer ethics, a highly interactive Web-based learning system is in the process of development. Capable of supporting a variety of teaching/learning environments, the system is intended to support teachers whose disciplinary primary interest is other than social impact and ethics.",1997-03-01
Structural Descriptions And Inexact Matching,In this paper we formally define the structural description of an object and the concepts of exact and inexact matching of  two structural descriptions.  We discuss the problems associated  with a brute-force backtracking tree search for inexact matching and develop several different algorithms to make the tree search  more efficient.  We develop the formula for the expected number  of nodes in the tree for backtracking alone and vith a forward  checking algorithm.  Finally we present experimental results  verifying the theory and showing that forward checking is the most efficient of the algorithms tested.,1979
"To Be, or Not to Be -- Is That the Question?","My purpose is to identify three fundamental questions regarding language  standardization, to share with you my answers to these questions, and to  explore the rationale emanating from these answers.",1979
Preservation of Etds on Ndltd Version 1.0,"Theses and dissertations published at a university are important research resources. ETDs (Electronic Theses and Dissertations) are simply the theses and dissertations published in electronic form (e.g., in PDF). Many universities are implementing a requirement that theses and dissertations be submitted in electronic form, thus making it easier for other people to access these works. These ETDs typically are archived on a server at each local university. We have developed a mirroring system which will store additional copies of remote ETDs, and thus will preserve and enhance access to them. The local archive of ETDs will be updated regularly. If someday the university (Publisher) fails to provide access to one of its ETDs or an ETD copy is corrupted, the user will still have access to another copy of ETD. The above system will be used for NDLTD (Networked Digital Library of Theses and Dissertations).  NDLTD is an initiative to encourage the creation of ETDs by student authors, and to make ETDs easily accessible to students via World Wide Web, thus improving graduate education. There are currently over 150 members in NDLTD. Users can browse or search ETDs through the NDLTD website. The NDLTD website also provides a union catalog to search for ETDs.  The Open Archives Initiative (OAI) is dedicated to solving problems of digital library interoperability. OAI has developed a metadata harvesting protocol to support streaming of metadata from one repository to another, ultimately to a provider of user services such as browsing, searching, or annotation. An OAI harvester implements the OAI protocol for metadata harvesting.  We use an OAI harvester to harvest metadata about ETDs and then a simple web crawler is used to get the actual data and store it on a local machine. This ensures that we have a local copy of data even if the publisher of data is somehow unable to provide us with data. Our OAI harvester harvests metadata, which was not harvested since the last time it was run. Hence, updating the mirror site is easily accomplished. This is a very effective scheme, which can be used to mirror any collection of data, provided the collection has an associated OAI server.",2003
Global Optimization for Polynomial Programming Problems Usingm-homogeneous Polynomial Homotopies,"A polynomial programming problem is a nonlinear programming problem where the objective function, inequality constraints, and equality constraints all consist of polynomial functions.  The necessary optimality conditions for such a problem can be formulated as a polynomial system of equations, among whose zeros the global optimum must lie.  This note applies the theory of m-homogeneous polynomials in Cartesian product projective spaces and recent homotopy algorithms to significantly reduce the work of a naive homotopy approach to the polynomial system formation of the mecessary optimality conditions.  The m-homogeneous approach, providing the global optimum, is practical for small problems.  For example, the geometric modeling problem of finding the distance between two polynomial surfaces is a polynomial programming problem.  Also discussed is a prototype structural design problem.",1989
"Rapid Modeling, Prototyping, and Generation of Digital Libraries- a Theory-Based Approach","Despite some development in the area of DL architectures and systems, there is still little support for the complete life cycle of DL development, including requirements gathering, conceptual modeling, rapid prototyping, and code generation and reuse. Even when partially supported, those activities are uncorrelated within the current systems, which can lead to inconsistencies and incompleteness. Moreover, the current few existing approaches are not supported by comprehensive and formal foundations and theories, which brings problems of interoperability and makes it extremely difficult to adapt and tailor systems to specific societal preferences and needs of the target community. In this paper, having the 5S formal theoretical framework as support, we present an architecture and a family of tools that allow rapid modeling, prototyping, and generation of digital libraries. 5S stands for Streams, Structures, Spaces, Scenarios, and Societies and is our formal theory for DLs. 5SL is a domain-specific, declarative language for DL conceptual modeling. 5SGraph is a visual modeling tool that helps designers to model a digital library without knowing the theoretical foundations and the syntactical details of 5SL. Furthermore, 5SGraph maintains semantic constraints specified by a 5S metamodel and enforces these constraints over the instance model to ensure semantic consistency and correctness. 5SGraph also enables component reuse to reduce the time and efforts of designers. 5SLGen is a DL generation tool that takes specifications in 5SL and a set of component pools and generates portions of a running DL system. The outputs of 5SLGen include user interface prototypes, in a generic UI markup language, for validation of services behavior and workflow representations of the running system, generated to support the desired scenarios.",2003
Design and Evaluation of Menu Systems for Immersive Virtual Environments,"Interfaces for system control tasks in virtual environments (VEs) have not been extensively studied. This paper focuses on various types of menu systems to be used in such environments. We describe the design of the TULIP menu, a menu system using Pinch Gloves™, and compare it to two common alternatives: floating menus and pen and tablet menus. These three menus were compared in an empirical evaluation. The pen and tablet menu was found to be significantly faster, while users had a preference for TULIP. Subjective discomfort levels were also higher with the floating menus and pen and tablet.",2001
One-Dimensional Edge Detection and Representation,"One reason no single edge detector has been found that satisfies the requirements of a wide range of image analysis applications is that existing edge detectors often produce  unjustifiable interpretations  of edge  regions without  sufficient contextual  or external  information.  One-  dimensional edge semantics are examined in detail,  and a  one-dimensional edge-detector is proposed whose output is not just a local edge point assertion but a data structure. This data structure contains alternative interpretations of edge crossections as global gray level transition regions of  variable widths. The detector is parameter-free, and a set  of descriptive edge features is proposed.",1979
The Promise (and Reality) of Multidisciplinary Design Optimization,"Modern aerospace vehicle design requires the interaction of multiple disciplines, traditionally processed in a sequential order. Multidisciplinary optimization (MDO), a formal methodology for the integration of these disciplines, is evolving towards methods capable of replacing the traditional sequential methodology of aerospace vehicle design by concurrent algorithms, with both an overall gain in product performance and a decrease in design time.  This paper discusses the obstacles to MDO, and presents a parallel MDO paradigm using variable-complexity modeling and multipoint response surface approximations for the particular instance of the design of a high speed civil transport (HSCT).  This paradigm interleaves the disciplines at one level of complexity, and processes them hierarchically at another level of complexity, achieving parallelism within disciplines, rather than across disciplines.  A master-slave paradigm manages a coarse grained parallelism of the analysis and optimization codes required by the disciplines showing reasonable speedups and efficiencies on an Intel Paragon.",1995-08-01
"Principles of Simulation Model Validation, Verification, and Testing","Sufficient experience has been gained over the last decade in simulation model validation, verification, and testing (VV&T) to establish basic principles and its characteristics.  This paper presents 15 principles of simulation model VV&T.  These principles help the researchers, practitioners, and manaagers better understand what model VV&T is all about.  They serve to provide the underpinnings for the VV&T techniques that can be used throughout the life cycle of a simulation study.  Understanding and applying these principles is crucially important for the success of a simulation study.",1994-06-01
Detecting Delaminations in Composite Structures Using Anti-Optimization,"The present study proposes a detection technique for delaminations in a laminated composite structure.  The proposed technique optimizes the spatial distribution of harmonic excitation so as to magnify the difference between the delaminated and intact structure.  The technique is evaluated by numerical simulation of two-layered aluminum beams. Effects of measurement and geometric noises are included in the analysis.  A finite element model for a delaminated composite, based on the layer-wise laminated plate theory in conjunction with a step function to simulate delaminations, is used.",1994-07-01
Sorting by Bounded Block-Moves,"Given a permutation pi, a block-move is an operation that switches two adjacent blocks of elements in pi.  The problem of finding the minimum number of block-moves required to sort pi has applications in computational biology, particularly in the study of genome rearrangements.  This paper investigates variants of the problem where bounds are imposed on the lengths of the blocks moved.  Algorithms and reduction results are presented for these variants.",1997-05-01
A Homotopy Method Applied to Elastica Problems,"The inverse problem in nonlinear (incompressible) elastica theory, where the end positions and inclinations rather than the forces and moment are specified, is considered. Based on the globally convergent Chow-Yorke algorithm, a new homotopy method which is simple, accurate, stable,  and efficient is developed. For comparison, numerical results of some  other simple approaches (e.g., Newton's method based on shooting or  finite differences, standard embedding) are presented. The new homotopy method does not require a good initial estimate, and is guaranteed  to have no singular points. The homotopy method is applied to the problem of a circular elastica ring subjected to N symnetrical point loads, and  numerical results are given for N = 2,3,4.",1980
Modeling of MULTI SAFE Protection Enforcement Processes with Extended Petri Nets,"The various kinds of access decision dependency within a predicate-based model of database protection are classified according to cost of enforcement. Petri nets and some useful extensions are described. Extended Petri nets are used to model the flow of messages and data during protection enforcement within MULTISAFE, a multimodule system architecture for secure database management. The model demonstrates that stated criteria for security are met within MULTISAFE. Of particular interest is the modeling of data dependent access conditions with predicates at Petri net transitions.",1981
Computational Experience with the Chow-yorke,"The Chow-Yorke algorithm is a nonsimplicial homotopy-type method for computing Brouwer fixed points that is globally convergent. It is efficient and accurate for fixed point problems. L. T. Watson, T. Y. Li, and C. Y. Wang have adapted the method for zero finding problems, the nonlinear complementarity problem, and nonlinear two-point boundary value problems. Here theoretical justification is given for applying the method to some mathematical programming problems, and computational results are presented.",1978
ETANA-DL: Managing Complex Information Applications - an Archaeology Digital Library,"Archaeological research results in the generation of large quantities of heterogeneous information managed by different projects using custom information systems. We will demonstrate a prototype Digital Library (DL) for integrating and managing archaeological data and providing services useful to various user communities. ETANA-DL is a model-based, componentized, extensible, archaeological DL that manages complex information sources using the client-server paradigm of the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH).",2004
Distributed Process Creation Within a Shared Data Space Framework,"This paper describes the design and implementation of a remote process instantiation mechanism which is consistent with the Linda paradigm and semantics of the EVAL operation, and which uses shared data space as the medium for passing process and environment parameters.  The motivation fo such an implementation stems from our effort to rehost a uniprocessor version of the Linda computational system to a network of workstations.  The baseline version relies on the semantics of the UNIX fork() system call to create processes and to pass the proper execution parameters to them.  In creating a distributed version of the Linda environment, two major issues are addressed: (1) how to instantiate a remote process that knows where, among several possibilities, to begin its execution, and (2) how to communicate the proper runtime values of relevant variables to each new remote Linda process. Guiding our implementation was a desire to employ existing interprocess communication facilities, e.g., shared data space, to pass process creation and execution parameters.",1994
Algebraic Specification of Complex Data Types,"This paper discusses algebraic data type specifications that employ product sets as carriers. This leads to simplifications for certain data types. In particular, the method permits the specification of a complex type by the straight forward translation of an intuitive model of the type into a formal definition, provided that the model is conceived in terms of other well defined types. The concept is illustrated by two examples.",1978
Testbed Evaluation of Navigation and Text Display Techniques in an Information-Rich Virtual Environment,"Information-Rich Virtual Environment (IRVE) is a virtual environment (VE) that is enhanced with the addition of related abstract information. Such an environment conveys rich information set that can make the VE more useful if provided with a useful interface and efficient interaction techniques. This motivates our current research goals to investigate the interface and interaction issues involved in IRVE. The fundamental question is how to access and display information in an effective way. This paper presents the first controlled experiment using a travel testbed based on our text layout taxonomy. We investigated two manipulation-based navigation techniques: Hand-Centered Object Manipulation Extending Ray0casting (HOMER) and Go-Go based navigation, and two text layout techniques; within-the-world display (WWD) and heads-up display (HUD). Four search tasks with repeated measures were performed to measure subjects performance in a densely packed environment. We found that using Go-Go based navigation combined with HUD techniques is significantly better than the other three combinations for difficulty search tasks. HUD enabled better performance than WWD and Go-Go technique enabled better performance than HOMER technique ro most of the tasks. Also users preferred the combination of Go-Go and HUD for all tasks. Such results on their own, or combined with specific application characteristics, can provide valuable design guidelines for IRVEs.",2003
Who Reuses What? C++ Libraries and Programmer's Traits,"Software Reuse is one key to increasing productivity within the software development process.  By reusing existing software, time and effort are saved in the coding, testing, and maintenance phases of a software product.  The goals of this research involve examining the process of software reuse and attempt to characterize it.  A set of experiments have been run to determine the effects of software reuse in the object oriented paradigm.  This paper focuses on the traits of reusers, what type of reuse they perform, and the common characteristics of the classes being reused.  In particular, the traits of programmers who reuse often are identified as well as the traits of those who reuse infrequently.  Also, do programmers perform black box reuse (reusing library classes without modification) or do they perform white box reuse (using inheritance to modify a library class to the desired functionality) or do they reuse at all?  Lastly, a first attempt at characterizing the reusability of a C++ class is presented.  Several traits are identified as making a class more reusable to programmers.",1994-05-01
A Variant of the Fisher-Morris Garbage Compaction Algorithm,"The garbage compactification algorithm described works in linear time and, for the most part, does not require any work space. It combines marking and compactification into a two-step algorithm. The first step marks all non-garbage cells and, at the same time, rearranges the pointers such that the cells can be moved, the second step performs the actual compatification.",1980
Security of Database Systems: Authorization Features and Mechanisms,"Database security has become an essential issue in assuring the integrity, protection, and reliability of the data stored in a database management system (DBMS). The authorization mechanism is the component of the database security system which has the primary responsibility of safeguarding the previously defined data and access rules needed for database access control. The data and rules for authorization control assist in the enforcement of access controls regarding the list of authorized users, the data objects which the authorized users are allowed to manipulate, and the operations that these users can perform on these objects. As part of its tasks the authorization mechanism can grant or deny access to any user or group of users as appropriate.",1986
Application of the Analytic Hierarchy Process to Complex System Design Evaluation,"This paper examines the use of the Analytic Hierarchy Process (AHP) to weight indicators used in the evaluation of complex systems designs which involve software, hardware, and humanware.  Since such a comprehensive easily include hundreds of system quality indicators, evaluators need a technique to ensure the identification and emphasis of salient indicators in the determination of the quality of the design. The AHP is a popular technique for determining relative worth among a set of elements.  In the present work, we introduce AHP with a simple example, then illustrate the application of the AHP to design evaluation using a subset of indicators from the human component of a system.  We note in some detail issues which require added attention when applying AHP to this domain.  The issues include indicator selection, dealing with large numbers of indicators, incorporating group judgements, and conflict resolution.  We found AHP to be an effective tool for use in assigning weights criticality in indicator-based design evaluation, and propose elements of an environment in which the use of AHP is easily incorporated.",1994-06-01
"Massively Time-Parallel, Approximate Simulation of Loss QueueingSystems","A time-parallel simulation obtains parallelism by partitioning the time domain of the simulation.  An approximate time-parallel simulation algorithm named GG1K is developed for acyclic networks of loss FCFS G/G/1/K queues.  In the first phase, a similar system (i.e., a G/G/1/infinity queue) is simulated using the GLM algorithm.  Then the resultant trajectory is transformed into an approximate G/G/1/K trajectory in the second phase.  The closeness of the approximation is investigated theoretically and experimentally.  Our results show that the approximation is highly accurate except when K is very small (e.g., 5) in certain models.  The algorithm exploits unbounded parallelism and can achieve near-linear speedup when the number of arrivals simulated is sufficiently large.",1994-02-01
Object Oriented Metrics: Generation and Application,"Object oriented software has been cited by many [Cox86, Meye87, Coad90, Booc91] as a cure to some of the common problems occurring in software development.  In particular, the object oriented paradigm, through inheritance, polymorphism, and encapsulation, allows for more reusable software components, easier software maintenance, and reduced software complexity.  However, in order to make these claims, researchers will need to quantitatively measure various attributes of software (e.g., complexity, reusability, and maintainability).  In order to efficiently and accurately use software metrics, it is necessary to automate the metric collection process.  The metrics group at Virginia Tech has developed a tool (the Metrics Generator) that, through an interactive interface, allows software developers to generate various software metrics from Ada, C, Classic Ada, or C++ source.  The most recent use of the tool was a study by Li and Henry [LiWe93] into the maintainability of object oriented source code.  The next use of the tool involves the object oriented paradigm and software reusability.",1994-05-01
The Cellular Automata Paradigm for the Parallel Solution of HeatTransfer Problems,"This paper describes the numerical solution of heat transfer problems using cellular automata.  While traditional methods offer high performance on uniprocessor machines, their performance is limited on distributed memory multiprocessors by communication bottlenecks caused by the interdependence of the equations.  Using a cellular automata formulation, these bottlenecks can be avoided, and performance greater than that obtained by parallelizing traditional algorithms can be achieved.  This paper gives an overview of the cellular automata paradigm and specific examples of solutions to a hyperbolic and a parabolic problem.  The accuracy of the method is verified by comparisons of the results with analytical solutions and with results produced by other techniques.",1994-04-01
A Queueing Network Analysis of Dynamic Recon-figurability in a Hierarchical Information Network,"Using a queueing network model of a hierarchical information network, we compare the effect of limited dynamic reconfiguration on expected transmission delays. Two distinctive features characterize the queueing network model. First, the assignment of a set of weights to the nodes dependent on the hierarchical level reflects the increasing importance of information as it is transferred to higher levels. Second, the dynamic hierarchy requires a communications protocol that partitions the analysis of network delay into three periods: regular operation, reconfiguration, and adjustment. Characterization of the performance of the dynamic hierarchy entails the description of message transmission delay as a composite of the three periods.",1992
Segmentation of Images with Incompletely Specified Regions,Sometimes image regions are incompletely specified in  the sense that only a few representative points in each  region are known. In order to determine a segmentation of  such an image it is necessary to construct the region  boundaries. A fast algorithm called a diffusion algorithm  is given that determines region boundaries by diffusing  region labels outward from the known points.,1979
A Model Formulation of User Interface for Statistical Databases with Perturbed Responses,"A statistical database is defined as a collection of N records used to produce summary information only.  Each record contains confidential category and data fields of the same fixed length.  Category fields are used to identify and select records, while data fields hold other information, mostly numerical.",1986
Continuous Homotopies for the Linear Complementarity Problem,"There are various formulations of the linear complementarity problem as a Kakutani fixed point problem, a constrained optimization, or a nonlinear system of equations. These formulations have remained a curiosity since not many people seriously thought that a linear combinatorial problem should be converted to a nonlinear problem. Recent advances in homotopy theory and new mathematical software capabilities such as HOMPACK indicate that continuous nonlinear formulations of linear and combinatorial problems may not be far-fetched. Several different types of continuous homotopies for the linear complementarity problem are presented and analyzed here, with some numerical results. The homotopies with the best theoretical properties (global convergence and no singularities along the zero curve) turn out to also be the best in practice.",1987-05-01
Usort: An Efficient Hybrid of Distributive Partitioning Sorting,A new hybrid of Distributive Partitioning Sorting is described and tested against Quicksort on uniformly distributed items. Pointer sort versions of both algorithms are also tested.,1981
Acquisition of an Interactive Computing System for Academic Use: A Case Study,"The acquisition of a large-scale computer system is a complex and  important task that universities face periodically.  The large capital  expenditures and the always expanding need for computing services ensure an  increasing importance.  Virginia Tech recently made such an acquisition.  This paper describes the evaluation procedures leading to the acquisition, beginning with needs assessment and concluding with system selection.  The acquisition of a computing system,  in this instance a system  primarily for interactive instructional support of undergraduates, is a  decision that is subject to a variety of influences  technical,  managerial, political, and personal.  This paper describes the authors'  attempts (as then Associate Director of the Computing Center and then Head  of the Computer Science Department,  respectively) to deal with these  influences through the use of quantitative techniques, behavioral analysis, and common sense.",1981
ETANA-DL: A Digital Library for Integrated Handling of Heterogeneous Archaeological Data,"Archaeologists have to deal with vast quantities of information, generated both in the field and laboratory. That information is heterogeneous in nature, and different projects have their own systems to store and use it. This adds to the challenges regarding collaborative research between such projects as well as information retrieval for other more general purposes. This paper describes our approach towards creating ETANA-DL, a digital library (DL) to help manage these vast quantities of information and to provide various kinds of services. The 5S framework for modeling a DL gives us an edge in understanding this vast and complex information space, as well as in designing and prototyping a DL to satisfy information needs of archaeologists and other user communities.",2004
An Assessment of SEES Based on Operational Experiences,"During the Fall of 1995 a modified form of SEES (Software Engineering Evaluation System), denoted SEES, was defined and used in a study to examine the value added of Independent Verification and Validation.  A follow-on study, and topic of this report, focuses on an assessment of SEES based on operational experiences gained from the 1995 study.  The report partitions its findings relative to phases of the software development process.",1997-03-01
Queue Layouts and Staircase Covers of Matrices,"A connection between a queue layout of an undirected graph and a staircase cover of its adjacency matrix is established.  The connection is exploited to establish a number of combinatorial results relating the number of vertices, the number of edges, and the queue number of a queue layout.  The staircase notion is generalized to that of an (h,w)- staircase, and an efficient algorithm to optimally cover a matrix with (h,w)- staircases is presented.  The algorithm is applied to problems of monotonic subsequences and to the maxdominance problem of Atallah and Kosaraju.",1994-06-01
Sluice: A Java-Based Framework for Collaborative Interactive Modular Visualization Environments,"We present Sluice, a framework for constructing collaborative, interactive, modular visualization environments (CIMVEs) for use on the World Wide Web.  Sluice supports using Java to build modules that create, manipulate, and generate visualizations of tables of data. Sluice provides necessary infrastructure for a CIMV, including interface specifications for methods that modules of the MVE must implement, event propagation to support interaction and dynamic updating, and mechanisms for efficiently supporting collaboration.  Our fundamental description of data comes in the form of table which is filtered, extended, or otherwise manipulated to produce a new ""view"" of the data at each module. We use the observer/observable design pattern to support dynamic updating of visualizations downstream in the dataflow network.  Sluice also supports on-the-fly manipulation of the dataflow network.  Sluice uses functionality provided by the JavaBeans package to support introspection of modules.  This allows CIMVE implementations to discover, query, and set the values of properties of modules at runtime. After describing the design rationale, capabilities, and implementation of Sluice, we then describe our prototype CIMVE named SIEVE.",1997-10-01
Visualizing Case Studies,"Case studies contain valuable information about development records. They are, however, usually presented as textual documents. Here we begin an initial design for viewing case study data. A prototype for viewing case study data is created using information visualization techniques for the purpose of testing against existing techniques. The evaluations show that the new design is just as usable as existing techniques, making it suitable for future development. Future work may show our design can accomplish tasks both faster and more efficiently.",2004
Diagnostic Assistance Using Digraph Representation of Discrete Event Simulation Model Specifications,"Automated diagnosis of digraph representations of discrete event simulation models is illustrated as an effective model verification technique, applicable prior to coding the model in an executable language. The Condition Specification is shown to provide an effective representation, from which automated analysis can initiate with a digraph extraction. Subsequent diagnostic simplification techniques are applied to the digraph, either automatically or in concert with the modeler.",1986-03-01
Expert Retrieval for Computer Message Systems,"This paper describes how information storage and retrieval (IS&R) and artificial intelligence (AI) methods can be integrated with modem computers and networks to provide access for broad classes of users to archives of electronic: mail, digests, and bulletin boards.  A status report is given on the COmposite Document Expert/extended/effective Retrieval project, designed to employ communities of experts, operating on multiple communicating computers, for free text analysis, indexing, and retrieval.  Details of the document-type expert are included to illustrate the approach.",1986-06-01
Credibility Assessment of Simulation Results: The State of the Art,The purpose of this paper is to provide a state-of-the-art survey of credibility assessment of simulation results and suggest some future research directions. A hierarchy of the credibility assessment is introduced and the state-of-the-art survey is presented with respect to this hierarchy. A glossary is provided to alleviate the lack of standard terminology. The future research calls upon looking at the global picture when conducting a simulation study and being concerned with all of the eleven credibility assessment stages not just model validation and programmed model verification.,1986
Human Factors and Software Reuse: The Manager's Impact,"This paper describes the results of a controlled experiment designed to evaluate the impact of human factors on software reuse. The experiment concludes that (1) software reuse promotes higher productivity than no reuse, (2) reuse resulting from both moderate and strong encouragement promote higher productivity than no reuse, and (3) while strong managerial encouragement did not create a significant difference in productivity, it does tend to promote improper reuse activities.",1992
Procedure for Evaluating Human-Computer Interface Development Tools,"Human-computer interface development tools are interactive systems that support production and execution of the human-computer interface. With their recent proliferation, evaluations and comparisons are constantly done, but without a formal, structured approach.  Addressing these problems is difficult, largely because of the relative newness of such tools, because of the many different kinds of systems that are called UIMS, and because of their inherent complexity.  These tools are complex because human-computer interfaces, which produce tools, are complex.",1990
Using Virtual Environments in the Teaching of Computer Graphics,"Education has long been touted as an appropriate application area for immersive virtual environments (VEs), but few immersive applications have actually been used in the classroom, and even fewer have been compared empirically with other teaching methods. This paper presents VENTS, a novel immersive VE application intended to teach the concept of the three-dimensional (3D) normalizing transformation in an undergraduate computer graphics class. VENTS was developed based on key principles for the use of VEs in education, systematically evaluated for usability, and refined based on the results of this evaluation. Students in a university course used VENTS, and their learning was compared to that of other students who either attended a lecture on the topic or used a 3D desktop application covering the same material. The results of pre- and post-tests showed a larger percent increase in test score for the VE group than the desktop or lecture groups, although these differences are not statistically significant.",2003
